URL,USERID,USERNAME,Comment,Sentiment
https://www.instagram.com/p/CnpF9fxNLvx,2610829967,auto_clutch,??????????????????,Neutral Sentiment
https://www.instagram.com/p/CnpF9fxNLvx,34208260809,emad.sedaghatdoost,????????????????????????????????,Neutral Sentiment
https://www.instagram.com/p/CnpF9fxNLvx,9506028162,russiantrucks,COOL! ??????????????????????????????????????????????????????????,Positive Sentiment
https://www.instagram.com/p/CnpF9fxNLvx,12648509389,litioui_vlogs,????,Neutral Sentiment
https://www.instagram.com/p/CnpF9fxNLvx,47538346747,karim_mahmodi69,????????????,Neutral Sentiment
https://www.instagram.com/p/CnpF9fxNLvx,398057849,tbbsrbstn,Bring it to France ??????,Neutral Sentiment
https://www.instagram.com/p/CnpF9fxNLvx,28097852834,richurg8888,????????,Neutral Sentiment
https://www.instagram.com/p/CnpF9fxNLvx,282291676,senator_happy,????,Neutral Sentiment
https://www.instagram.com/p/CnpF9fxNLvx,56882156205,vlog_on_wheel,??,Neutral Sentiment
https://www.instagram.com/p/CnpF9fxNLvx,25516818697,mr.sasha011,??,Neutral Sentiment
https://www.instagram.com/p/CnpF9fxNLvx,45668576271,pouria_ziaeian,I deserve the best,Positive Sentiment
https://www.instagram.com/p/CnpF9fxNLvx,5829508955,gusbrownportperry,??????,Neutral Sentiment
https://www.instagram.com/p/CnpF9fxNLvx,493812892,lifeofchevys,??????,Neutral Sentiment
https://www.instagram.com/p/CnpF9fxNLvx,2038401966,elnur86i,https//www.instagram.com/p/CoSZBjVtTsY0-r_MML9LybPi7olk-ZC7rb547U0/?igshid=NDk5N2NlZjQ=,Neutral Sentiment
https://www.instagram.com/p/CnpF9fxNLvx,1226961908,popcynic,??,Neutral Sentiment
https://www.instagram.com/p/CnpF9fxNLvx,56445801937,davidlittle1224,"Look at that in the middle of no where and no charging station,what do I do ????????",Neutral Sentiment
https://www.instagram.com/p/CnpF9fxNLvx,193082751,royfossmotorsthornhill,Wow ??,Positive Sentiment
https://www.instagram.com/p/CnpF9fxNLvx,57886289423,evor.cars,OMG this is a monster ??????,Neutral Sentiment
