URL,USERID,USERNAME,Comment,Sentiment
https://www.instagram.com/p/CNt1sCzhsBa/,4893507359,mat_hound,@subhra125_,Positive Sentiment
https://www.instagram.com/p/CNt1sCzhsBa/,6116704456,subhra125_,@mat_hound eye catcher,Positive Sentiment
https://www.instagram.com/p/CNt1sCzhsBa/,4365036825,davinci.black,Make an EXCURSION size SUV. Biggest SUV should be a TESLA.,Positive Sentiment
https://www.instagram.com/p/CNt1sCzhsBa/,4365036825,davinci.black,Ugliest truck EVER,Positive Sentiment
https://www.instagram.com/p/CNt1sCzhsBa/,420125153,shk.tk,@adriannagloriaxo,Positive Sentiment
https://www.instagram.com/p/CNt1sCzhsBa/,49104274497,ryanknixk,@urbantrucksllc,Neutral Sentiment
https://www.instagram.com/p/CNt1sCzhsBa/,44321122505,hnaruie,??? ???? ?? ????? ??? ?????? ???? ????? ? ?????? ?????????? ????? ???? ???? ?????? ? ??????? ???? ?? ? ???????? ?????????? ???? ?? ????????? ?? ????? ???? ????? ??? ????? ???? ??? ??????? ??? ?????? ?? ???? ???? ????? ???? ?? ???? ???? ?? ?? ????? ????? ?? ????? ???? ????? ???????? ????? ?? ??? ????? ??? ?? ???? ??? ?????? ?? ?????? ?????? ???? ??? ?????? ????? ???? ???? ??? ? ?? ????? ?????? ????? ???? ????? ???? ????????? ?? ??????????? ?? ????? ?? ?????? ?????? ??? ??????? ?? ????? ??? ?????? ? ????????? ??? ??? ?? ??? ???? ???? ? ?????? ????? ??????? ?? ???? ????? ????? ?? ??? ???? ???? ???? ????? ?? ?????????? ???? ??????? ?? ?? ???? ??? ?????? ? ???? ??????? ?? ?? ???? ????? ????????? ?? ??? ????,Positive Sentiment
https://www.instagram.com/p/CNt1sCzhsBa/,44321122505,hnaruie,???? ????? ???? ?????? ?? ?????? ???? ? ???? ??? ???? ???? ??? ?????? ???? ?? ?? ?? ???? ???? ???? ?? ?? ?????? ??????? ? ?? ????? ??? ????? ??? ???? ???? ????????? ?? ?? ?? ??? ?????? ?? ????? ? ???? ????? ????? ?????? ????? ?????? ? ?????? ??????? ?????? ???? ?? ??????????? ????? ??????? ???? ?? ????? ??? ?? ?????? ? ??????? ????? ?????? ????? ?? ?? ? ???? ?? ???? ?????? ?? ?? ?????? ??? ???? ????????? ?????? ??? ??? ???? ?? ?????? ????? ?? ?????? ?????? ?????????? ?? ?????? ????? ?? ?? ???? ??? ????? ?? ???? ????? ??? ??? ??? ???????,Neutral Sentiment
https://www.instagram.com/p/CNt1sCzhsBa/,8116145,jakeos_,When is this featuring at Cannon Hill? @mattxcunliffe,Neutral Sentiment
https://www.instagram.com/p/CNt1sCzhsBa/,5601918213,heerou2,@shynnana022 @88_hongba,Positive Sentiment
https://www.instagram.com/p/CNt1sCzhsBa/,2207448446,88_hongba,@heerou2 ?? ??????,Neutral Sentiment
https://www.instagram.com/p/CNt1sCzhsBa/,1106703709,meno.peemoeller,@marenpeemoeller,
https://www.instagram.com/p/CNt1sCzhsBa/,3052105753,andoniirust,No me gusta su diseño. Están futurista que no tiene futuro,
https://www.instagram.com/p/CNt1sCzhsBa/,53058773913,samuel.conner.1253,I’d like to buy a dump truck b class in electric if it’s capable of the same distance under load as the semi,
https://www.instagram.com/p/CNt1sCzhsBa/,28835059598,esquerdotr,@acessivelutilidades,
https://www.instagram.com/p/CNt1sCzhsBa/,53830807,jack.lavi24,??,
https://www.instagram.com/p/CNt1sCzhsBa/,209951189,j23_angel,@angueiraeliot,
https://www.instagram.com/p/CNt1sCzhsBa/,35954210,_dgrady_,????????,
https://www.instagram.com/p/CNt1sCzhsBa/,1579758274,instatheinstant,Space on earth! ?,
https://www.instagram.com/p/CNt1sCzhsBa/,4787290459,yasemo4ka,he would look beautiful in the Armed Forces of Ukraine ????????????,
https://www.instagram.com/p/CNt1sCzhsBa/,52697150983,skylercarrow,@yasemo4ka wtf ??,
https://www.instagram.com/p/CNt1sCzhsBa/,39493832548,stonerpackllc,box trucks next ??????????,
https://www.instagram.com/p/CNt1sCzhsBa/,4661582946,usa_explorer87,This thing is hideous,
